"TIME","LED0","LED7"
0,"WLO","WLO"
4.129004e-006,"FLT","WLO"
4.132234e-006,"WHI","WLO"
4.253677e-006,"FLT","WLO"
4.254004e-006,"FLT","FLT"
4.256675e-006,"WLO","FLT"
4.257234e-006,"WLO","WHI"
4.628677e-006,"WLO","FLT"
4.629007e-006,"FLT","FLT"
4.631676e-006,"FLT","WLO"
4.632234e-006,"WHI","WLO"
4.753677e-006,"FLT","WLO"
4.754007e-006,"FLT","FLT"
4.756676e-006,"WLO","FLT"
4.757234e-006,"WLO","WHI"
5.128677e-006,"WLO","FLT"
5.129007e-006,"FLT","FLT"
5.131676e-006,"FLT","WLO"
5.132234e-006,"WHI","WLO"
5.253677e-006,"FLT","WLO"
5.254007e-006,"FLT","FLT"
5.256676e-006,"WLO","FLT"
5.257234e-006,"WLO","WHI"
5.628677e-006,"WLO","FLT"
5.629007e-006,"FLT","FLT"
5.631676e-006,"FLT","WLO"
5.632234e-006,"WHI","WLO"
5.753677e-006,"FLT","WLO"
5.754007e-006,"FLT","FLT"
5.756676e-006,"WLO","FLT"
5.757234e-006,"WLO","WHI"
6.128677e-006,"WLO","FLT"
6.129007e-006,"FLT","FLT"
6.131676e-006,"FLT","WLO"
6.132234e-006,"WHI","WLO"
6.253677e-006,"FLT","WLO"
6.254007e-006,"FLT","FLT"
6.256676e-006,"WLO","FLT"
6.257234e-006,"WLO","WHI"
6.628677e-006,"WLO","FLT"
6.629007e-006,"FLT","FLT"
6.631676e-006,"FLT","WLO"
6.632234e-006,"WHI","WLO"
6.753677e-006,"FLT","WLO"
6.754007e-006,"FLT","FLT"
6.756676e-006,"WLO","FLT"
6.757234e-006,"WLO","WHI"
7.128677e-006,"WLO","FLT"
7.129007e-006,"FLT","FLT"
7.131676e-006,"FLT","WLO"
7.132234e-006,"WHI","WLO"
7.253677e-006,"FLT","WLO"
7.254007e-006,"FLT","FLT"
7.256676e-006,"WLO","FLT"
7.257234e-006,"WLO","WHI"
7.628677e-006,"WLO","FLT"
7.629007e-006,"FLT","FLT"
7.631676e-006,"FLT","WLO"
7.632234e-006,"WHI","WLO"
7.753677e-006,"FLT","WLO"
7.754007e-006,"FLT","FLT"
7.756676e-006,"WLO","FLT"
7.757234e-006,"WLO","WHI"
8.128677e-006,"WLO","FLT"
8.129007e-006,"FLT","FLT"
8.131676e-006,"FLT","WLO"
8.132234e-006,"WHI","WLO"
8.253677e-006,"FLT","WLO"
8.254007e-006,"FLT","FLT"
8.256676e-006,"WLO","FLT"
8.257234e-006,"WLO","WHI"
8.628677e-006,"WLO","FLT"
8.629007e-006,"FLT","FLT"
8.631676e-006,"FLT","WLO"
8.632234e-006,"WHI","WLO"
8.753677e-006,"FLT","WLO"
8.754007e-006,"FLT","FLT"
8.756676e-006,"WLO","FLT"
8.757234e-006,"WLO","WHI"
9.128677e-006,"WLO","FLT"
9.129007e-006,"FLT","FLT"
9.131676e-006,"FLT","WLO"
9.132234e-006,"WHI","WLO"
9.253677e-006,"FLT","WLO"
9.254007e-006,"FLT","FLT"
9.256676e-006,"WLO","FLT"
9.257234e-006,"WLO","WHI"
9.628677e-006,"WLO","FLT"
9.629007e-006,"FLT","FLT"
9.631676e-006,"FLT","WLO"
9.632234e-006,"WHI","WLO"
9.753677e-006,"FLT","WLO"
9.754007e-006,"FLT","FLT"
9.756676e-006,"WLO","FLT"
9.757234e-006,"WLO","WHI"
1e-005,"WLO","WHI"
